sos_rank,team_sos
1,Michigan
2,Texas Tech
3,Kansas
4,Alabama
5,Duke
6,Auburn
7,Arkansas
8,Arizona
9,North Carolina
10,Purdue
11,BYU
12,Florida
13,Kentucky
14,Michigan State
15,Illinois
16,Wake Forest
17,North Carolina State
18,Arizona State
19,Tennessee
20,SMU
21,Vanderbilt
22,Baylor
23,Virginia Tech
24,Connecticut
25,Louisville
26,Oklahoma State
27,UCF
28,Notre Dame
29,Saint John's
30,Ohio State
31,Houston
32,Cincinnati
33,Oregon
34,Kansas State
35,Northwestern
36,Syracuse
37,Pittsburgh
38,Boise State
39,La Salle
40,Florida State
41,Maryland
42,Creighton
43,UCLA
44,Utah State
45,Colorado
46,Villanova
47,Santa Clara
48,San Diego State
49,Stanford
50,Wisconsin
51,Indiana
52,Utah
53,Saint Mary's College
54,Penn State
55,Dayton
56,VCU
57,Nebraska
58,Georgia
59,Texas
60,Georgetown
61,Iowa State
62,Xavier
63,Marquette
64,South Florida
65,USC
66,Mississippi State
67,Virginia
68,TCU
69,Ole Miss
70,Iowa
71,Seton Hall
72,West Virginia
73,Washington
74,Providence
75,Missouri
76,Clemson
77,Rutgers
78,UNLV
79,Minnesota
80,LSU
81,Air Force
82,Boston College
83,Memphis
84,Georgia Tech
85,South Carolina
86,Gonzaga
87,George Mason
88,Toledo
89,California
90,Butler
91,New Mexico
92,Duquesne
93,Texas A&M
94,Evansville
95,George Washington
96,Washington State
97,Davidson
98,San Jose State
99,Fresno State
100,Oklahoma
101,Saint Bonaventure
102,Nevada
103,Oregon State
104,Middle Tennessee
105,Wyoming
106,Miami (FL)
107,Ohio
108,Towson
109,Loyola-Chicago
110,FAU
111,Campbell
112,Northern Iowa
113,San Francisco
114,DePaul
115,Tulane
116,Wichita State
117,Saint Louis
118,Yale
119,Colorado State
120,Rhode Island
121,Marshall
122,UIC
123,Princeton
124,Drake
125,UTEP
126,Grand Canyon
127,Utah Tech
128,Pepperdine
129,Penn
130,Portland
131,Hofstra
132,UMass
133,Western Kentucky
134,Oakland
135,Cornell
136,UNC Asheville
137,Charleston
138,Southern Utah
139,Illinois State
140,Murray State
141,Southern Illinois
142,Western Michigan
143,Bradley
144,Fordham
145,FIU
146,UTSA
147,UC Riverside
148,Charlotte
149,North Texas
150,Loyola-Marymount
151,Abilene Christian
152,Liberty
153,Kent State
154,East Carolina
155,Tulsa
156,Elon
157,Saint Joseph's
158,Troy
159,Indiana State
160,Pacific
161,UC Irvine
162,Cal State Fullerton
163,Missouri State
164,Winthrop
165,New Mexico State
166,Arkansas State
167,Buffalo
168,Richmond
169,Utah Valley
170,UAB
171,James Madison
172,Cal Poly
173,Akron
174,Bowling Green
175,Rider
176,Sam Houston State
177,Seattle University
178,Belmont
179,Central Michigan
180,Gardner-Webb
181,Eastern Michigan
182,Western Carolina
183,UTA
184,Old Dominion
185,Dartmouth
186,Green Bay
187,Northeastern
188,Eastern Kentucky
189,Merrimack
190,Kennesaw State
191,Jacksonville State
192,Monmouth
193,North Florida
194,Southern Miss
195,McNeese
196,Tarleton State
197,Valparaiso
198,Quinnipiac
199,San Diego
200,Columbia
201,Rice
202,Northern Illinois
203,Cal State Northridge
204,Long Beach State
205,Montana
206,William & Mary
207,Louisiana
208,UC Santa Barbara
209,UC Davis
210,Saint Peter's
211,Wright State
212,Milwaukee
213,Sacramento State
214,Stony Brook
215,UC San Diego
216,Furman
217,UNCW
218,Delaware
219,UTRGV
220,Hampton
221,Temple
222,Coastal Carolina
223,Cleveland State
224,Drexel
225,Niagara
226,Texas A&M-Corpus Christi
227,Sacred Heart
228,Louisiana Tech
229,Detroit
230,Harvard
231,Marist
232,Samford
233,Lipscomb
234,Miami (OH)
235,ULM
236,East Texas A&M
237,Oral Roberts
238,Georgia State
239,South Dakota State
240,Cal State Bakersfield
241,Appalachian State
242,Montana State
243,Northern Kentucky
244,North Carolina A&T
245,Eastern Washington
246,Brown
247,Georgia Southern
248,Nicholls
249,Mercer
250,Eastern Illinois
251,Denver
252,New Orleans
253,Jacksonville
254,Fairfield
255,California Baptist
256,Queens
257,Central Arkansas
258,Manhattan
259,North Dakota
260,Canisius
261,South Alabama
262,Colgate
263,Texas State
264,Iona
265,East Tennessee State
266,Idaho State
267,UNCG
268,Bucknell
269,South Carolina Upstate
270,Presbyterian College
271,Purdue Fort Wayne
272,Northwestern State
273,Incarnate Word
274,Tennessee State
275,Mount Saint Mary's
276,Southeast Missouri
277,Siena
278,Bellarmine
279,FGCU
280,Youngstown State
281,Ball State
282,Stetson
283,American
284,Saint Francis (PA)
285,Bethune-Cookman
286,Morehead State
287,Northern Arizona
288,IU Indianapolis
289,Chattanooga
290,Lehigh
291,Omaha
292,Robert Morris
293,Southeastern Louisiana
294,UMKC
295,Portland State
296,Houston Christian
297,Little Rock
298,Tennessee Tech
299,Hawaii
300,Lamar
301,New Hampshire
302,The Citadel
303,Jackson State
304,Weber State
305,Chicago State
306,Stephen F. Austin
307,Northern Colorado
308,Army
309,Radford
310,VMI
311,Bryant
312,Western Illinois
313,Idaho
314,Saint Thomas
315,Arkansas-Pine Bluff
316,Austin Peay
317,Tennessee-Martin
318,High Point
319,West Georgia
320,Lafayette
